start	end	text
210920	214880	quite beautiful about this year, just life slowing down a little bit. Yes, it's been
214880	220000	difficult with school teacher, you know, at home teaching and all these things. But
220000	225240	actually just seeing London at a standstill, well seeing the world at a standstill, but
225240	229000	being London, seeing London at a standstill in the day and at night, because you only
229000	233040	get that perspective at night very often, but to see it in the day, it's quite something.
233040	238280	So I actually think it's been good. We've seen things that we literally thought that
238280	246880	we never could or would see. We thought it was impossible for international flights to
246880	253680	sort of slow down, to traffic to slow down, and all the rest of it. It's been weird. I
253680	259600	mean, one thing I've felt is it one thing it's taught me is that I'm always going to
259600	264920	have fairly big to do this because I kind of for many years thought if I have like the
264920	268680	time if there's a bit, you know, if I'm not running around, blah, blah, blah, get through
268680	274480	the to do list and it'll be like, but even through this whole year, I've still had quite
274480	277960	a lot of things on the to do list. And now I've come to the realization I think I'm going
277960	284040	to get carried out by the handles one year, one day in the future, hopefully many decades
284040	288360	to come and I'll hopefully die with quite a big to do list still. But I'm all right
288360	293080	with that now, because that just means like I'm involved in doing stuff, which is good.
293080	298680	I've got into it was bad before, but you know, 10 things on the to do list, I'll do
298680	305000	to tick them off and then give myself a treat for doing nothing. So yeah, you just make
305000	308200	the to do lists realistic. That's one thing I've learned from this period.
308200	313000	Yeah, so I think we've all learned from the last year. And then you've had this incredible
313000	319640	journey, it seems where I presume you must have been consistently learning as various
319640	323960	sort of things happen. I wonder if we could kind of scroll back a bit. It sounds like your
323960	329720	earliest years were pretty challenging in the sense that my understanding is that you couldn't
329720	337960	speak till you were 11. So for the first sort of phase of this discussion, can you just tell me
337960	344280	why was that and what was going on there? Yeah, of course. So I suppose it's it's kind of been a
344280	349560	really crazy, full stop. But it's the embryonic stages of this craziness kind of really
349560	355960	stem from when I was three, I was diagnosed with autism. So I had a hybrid of autism, which was
355960	361240	Asperger's syndrome, and global development delay. So obviously, there are kind of particular traits
361240	366200	that people associate with Asperger's, which kind of are not really atypical, I think different
366200	371160	autistic people experience these traits in different ways. But I guess with global development
371160	376600	delay, that's more solidified in terms of, you know, it's basically a delay of particular milestones
377320	383960	and motor skills at particular ages and cognitive skills. So I signed and had speech therapy until
383960	390920	I was 11. So, you know, the way I would converse was through sign language, and had speech therapy
390920	397240	from the age of three to 12. But I said my first word when I was 11. So I wasn't a selective mute.
398280	403000	I just literally, you know, I couldn't speak and we're a global development delay, but with a delay.
403080	408280	Yeah, there's a delay when you do things. So whereas, you know, an age for formulating words
408280	416520	may normatively be, you know, one and a half to two years old, I didn't get that experience until I
416520	425400	was until I was 11. And so my first word was hello, at 11. And wow, so this began. So what kind of
425720	431800	schooling were you? What was your education up until age 11?
431800	438360	Yeah, so I went to a special needs school, right? Up until I was until the year three or four.
439560	445640	And then went to a mainstream school. So then in South London, and that was kind of a strange
445640	450120	existence. Because obviously, you know, I was conversing with people by myself wasn't able to
450120	455000	verbalize. So people are conversing with me, sorry, but I wasn't able to verbalize or talk. So
455000	459880	that was a different experience. And actually, to be honest, you know, I always say this,
459880	464040	there's something pretty beautiful about being able to see the world in a different way and not
464040	468440	being able to converse with people, because in that situation, or at least the positive spin that
468440	473000	was kind of always, you know, purported to me was that you're listening, you're learning, you're
473000	478360	using other skills and other ways of communication to engage with people. So, you know, I don't know
478360	482920	if that was all by default or designed. But I mean, it worked out pretty well in the end.
482920	489160	Well, clearly, clearly, it's worked out well in the end. And you're now an Associate Professor and
489160	494520	your Deputy Executive Dean at Durham University. So this is, it's incredible the way that it has
494520	501240	worked out. But at the time, I mean, I'm assuming in your, let's say your early teens, it must have
501240	507320	been very difficult, mustn't it? Yeah, I think that's when you kind of, you know, as my dad
507320	512200	always says, people always mock what they don't understand. And you kind of you meet people and
512200	517880	bearing in mind up until the age of 11, you know, I wasn't, you know, my mum was a huge
517880	523560	influence on my life. And I was just told I wasn't made to feel any different. So when you go into,
524360	527560	you know, your kind of adolescence and your teenage years, and you're told you're different,
528120	532840	you know, you start thinking about why am I different from everyone else? Why does my brain
532840	537400	work in a different way to everybody else? And also, because people tell you, you know, so teachers
537400	541880	tell you more, the difference is when I was being told as a, as a up until 11 year old, I didn't
541880	546040	always understand what people were saying. But as you become a bit more cognitive, and you're
546040	550920	beginning to develop slightly more and more, you actually understand what people are saying to you
550920	556360	and you realize pretty quickly, they're not nice things. Would you say you were you were bullied
556360	563080	in that, you know, that kind of age zone? Yeah, I mean, for someone to bully someone,
563800	569080	not all the time, but I guess in my case, that they would, you know, they would have to be a
569080	575320	sense that I felt like I was being bullied. I mean, I had such a strong sense of self at 14,
576120	583560	13, I don't think I took that on, I just recognize that to be other people's problem. And, and I was
583560	588600	and I was okay with the way I was. And, you know, the one thing that I really hold on to is that I
588600	592760	don't, you know, I think a lot of people go through life and they really care what other people think.
592760	597160	But when I was 14, which is the age when you probably would care what people think I never
597240	602840	did. And so it kind of really set me up well for later adulthood and where I am now. And it's
602840	606360	something that I try and I think it's different. I think there's a lot of things that have changed
606360	611320	from when I was 40 and 35. Now, I mean, there are a lot of things, but I think that sense of self
611320	616200	was different because I was into different things as well. Like, so, you know, I was obsessed with
616200	621400	like, mud culture, I'm talking to these mud culture, like clothing. Yeah. And, you know, my favorite
621400	626680	band was Oasis. And if you're a black kid from South London, you know, those things are kind
626680	632600	of not au fait and not in fashion. So, you know, so it didn't, you know, it was one of those things
632600	635800	where those are the things I was into, you know, I loved, obviously I loved football,
636760	641480	played snooker and football to a really high level. Yeah. But for me, it was, you know,
641480	646680	the most important thing was being true to myself. And so I didn't really, you know,
647480	651560	I didn't give the petrol or the right of field needed for those flames to come up in terms of
651560	658120	what people would say to me because it really was of no interest. It's interesting that you talk
658120	666440	about music and kind of developing a sense of comfort with being a bit different because we
666440	672840	had a conversation with Groove Rider very recently for Trailblazers, the other podcast that I do,
673800	680520	which you're aware of. And Groove was explaining basically that he was a punk and he was saying,
680520	685400	yeah, you know what I mean? Like being a black guy and, you know, where I grew up, it just wasn't
685400	691480	really the dumb thing to be into punk music, you know, but he said, I just kind of, you know,
691480	696120	I just was okay with it. It's just like, this is what I'm into. This is what I buzz off. And so,
696680	701720	hey, almost like this is me and everybody else just, you know, you kind of need to deal with
701720	706040	it a little bit, something like that. Maybe it was a bit of something similar, perhaps going on with
706040	710040	you there. Yeah. I mean, it wasn't even something that, you know, when people say like you grow into
710120	716760	a pair of trousers or a pair of shoes or you lean into it, it's just what I was like. I liked rock
716760	722920	and roll music a lot, not a little bit, a lot. And for whatever reason, you know, when I heard the
722920	729320	opening tenets to, you know, rock and roll star, yeah, it's an alcohol, something just ignited
729320	734840	something in me. It was that idea that you could have like these, you know, five working class
734840	740360	men, cunean guys that basically were like, we're going to take on the world and win, you know, and
740360	744920	I don't know, there was something about, you know, them that you look at and you think, well, if they
744920	749800	can do that, why can't I take on the world and win? Admittedly, at that point, I had no idea what that
749800	754360	might look like. Yeah. But the important thing was having the psyche that you could probably
754360	760600	entertain that as an idea. And that in itself, when you're 15, 14, 15, that's quite powerful,
760600	764680	because at that point, you know, the only person, the person that I had to kind of really
765320	769880	embed that was my mum and she was she was fantastic at that. And she, you know, my brothers are very
769880	774200	different to me and they got very different interests. But yeah, it was what I liked. And,
774200	780200	you know, even as a 35 year old now, I don't have any vices, I don't drink, smoke or do drugs.
780200	783480	Right. Well, I do waste a lot of money on tailoring.
785320	790200	Everybody's got a vice man, you just go, you just go seek it out. Yeah, this is a nice
791080	795640	shirt is presumably one of yours. Nick, it's more than a nice shirt. I'm not joking. Like,
796680	801880	when I was 14, my dad bought these two posters and a massive posters and one was of Oswald
801880	806440	Boating and one was of Paul Weller. Yeah. And I kind of said to him, who are they? Who are they?
806440	811000	And he was like, well, that's Oswald Boating. And that's like the first one of the first or one of
811000	815000	the only black people to have a shop on several row. Yeah. This one's Paul Weller. He's part of
815000	821320	a band called like the Jam or Star Counts or something. Yeah. So I said, I'd love to dress
821320	824280	like that. And he said, Well, you're gonna need a really good job. And a lot of money stress that
824280	830280	out because one's a tailor and one only is clothed in tailoring. Yeah. So from that day onwards, I was
830280	834440	like, I'm gonna look like that when I'm older. Okay. And that's where and that's kind of where
834440	839320	all the obsession with it all started with the kind of tailoring the shoes and all that. It was
839320	842920	really funny, because I do a lot of sport, but I only own like probably one pair of trainers,
843000	848200	but I've got probably 70 pairs of shoes. Interesting. Really interesting, man. Yeah.
848200	856360	So it sounded like you were developing your own kind of set of aspirations and quite unique.
856360	862680	My understanding is that you, again, with the form of autism that you had, that meant that you
862680	868280	only learned to read and write at the age of 18. Am I right? I did. Yeah, I did. So I did learn to
868280	872840	read and write, do learn to read and write at the age of 18. And that in itself, I mean,
873480	876360	it's an interesting thing, because I don't think anyone saw that coming.
876360	881080	Oh, no, that is interesting. So you think that people were surprised that you actually developed
881080	884360	those skills people thought that you maybe you will never learn to read and write.
884360	888600	Yeah. And also, I guess the thing that should caveat all of this is that I don't know if you've
888600	894120	seen a program called seven up. Hmm. But it followed you at seven, five, yeah. And so basically,
894120	899480	I had a study done on me from the age of three to what would end up being 25. And so
899480	904280	it's educational psychologists and a team of psychologists that would work that worked with me
904280	909160	and my mom and my dad to kind of really, I guess, in many respects, they kind of adopted this
909160	914680	mystic Meg persona where they predict where you would be. And so that whole thing was at 18,
914680	922280	you know, Jason can, you know, get a job working two or three hours a week where he can get work
922280	927480	experience, you know, and maybe when he's 25 to 30, he can live in shared accommodation with other
927480	932760	people with kind of special educational leads on learning disabilities, that would be an achievement.
932760	939480	And my mom was kind of like, no way, no way that's had no way. And, and then I don't know it, you
939480	945240	know, it took time to obviously learn to read and write. And in many respects, you know, the infancy,
945240	949560	you know, there was a very infinite component about it, you're reading books that are for
949560	954520	three and four year olds at 18 and trying to learn. So there's a whole load of learning that
954520	960040	I've missed out on. So even now, there's times when I asked my kind of 14 year old daughter,
960040	966280	you know, what's a verb or what's an adjective, which she finds incredible. She's like, you know,
966840	970360	you write books for a living. Like, why do you write books for a living? But you don't,
971160	976200	you know, you write policy documents for parliament. You don't know what those things are,
976200	982680	which is which is the truth. So I wouldn't, you know, you make allowances or you can or you kind
982680	987000	of, it's part you skip, you're not part, you don't skip them deliberately, but you make up
987000	994440	what you don't know. And I mean, not literally, as in, you know, yeah, you find a way you find a way
994440	999720	of dealing with the situation, I guess, right? Yeah. And it's not unique to me. I think we all
999720	1004600	have ways of finding mechanisms and coping mechanisms to deal with stuff. So it's not unique
1004600	1010680	to me. It's just that I guess, you know, I tried to utilize what I, you know, I knew I didn't have
1010680	1016040	a lot of strengths. But I thought the ones I did that try and refine them and make them as good as
1016040	1020520	possible. And that coincided with meeting my tutor at college called Sandro, who was like,
1021160	1026600	he was instrumental, like he basically was I'm going to turn you into a winner. That in fact,
1026600	1030440	that is the words he said to me, I'm going to turn you into a winner. When did this person say that
1031320	1038120	when I was 18? Yeah, so, you know, we my mom had tried to we went to a place called Connections,
1038120	1045560	which was in Clapham Junction at the time. So this is this is around 2002. And we went in there. And
1045560	1050440	part of Connections, they've all closed now. But part of their remit was, you know, they did the
1050440	1055800	careers they provide, they provide you or find or give you career options. And so they said,
1055800	1060920	Jason skill set, and obviously all the things you've outlined, I think the best option Jason
1060920	1065320	will have, I think is if he can, you know, if he works in a supermarket a few hours a week.
1065320	1069560	And my mom had heard this for like, you know, four or five years. So by this point,
1069560	1073640	there's a monotony to this. And you have a bunch of more and more tempered about it.
1074200	1078840	But she was like, Jason, get your bag, let's go. And stormed out, stormed out. And I was still
1078840	1083720	behind. She, you know, did this really dramatic entrance through the door. And I was kind of
1083720	1088280	languishing behind her. And I remember grabbing me with like, kind of both hands, she's like, Jason,
1088280	1092600	you have to find it from somewhere to make something of your life. Otherwise, this is what
1092600	1095560	people are going to they're going to predict. This is what people are going to predict for you.
1095560	1099800	There's no hope of what you're going to do. You've got, you know, it's only so far I can take you,
1099800	1105960	Jason. And so we went to Merton College, which is based in Morden. And my mom found this course,
1105960	1110920	and she was like, right, it's a sport diploma course, you're doing it. And I was like, I,
1110920	1114120	you know, there's no way I can I'm out of my depth. I'm not going to be able to do this.
1114120	1117800	Also, I want to practice. So, you know, I've got snooker tournaments, primes coming up, I want to
1118600	1123240	practice at that. No, no, no, you're not spending 10 hours in a snooker hall. You're good, Jason.
1123240	1126680	But I don't know if you're going to be a professional. And if that fall, if that goes
1126680	1129480	tee up, then I'd love you have something to fall back on.
1130440	1136200	Let's just quickly before we move on from that, though, you you were successful, though. This is
1136200	1141240	the interesting thing at the age of 18 when when people were saying this guy is not going to
1141240	1148280	amount to anything, both in snooker and in football, correct me if I'm wrong, you had managed to make
1148280	1154600	an impact and and achieve quite a good level already. Is that right? I had. Yeah. So I was at
1154600	1159400	I was at a professional club at time and then 18 went into some professional games. So I ended up
1159400	1164520	kind of I wasn't going to go. Sorry, I've got a button. Which team were you? Which protein were
1164520	1169320	you involved with? Crystal Palace. Crystal Palace. OK, yeah. All right. So at the time,
1170120	1173640	and it was really funny because obviously one thing they don't tell you about these situations,
1173640	1177800	there are a lot of streams in terms of like in youth football, a lot of streams and
1177800	1184200	actually out of most youth setups, very few people kind of go up. So I was only at Crystal
1184200	1189720	Palace for a handful of years. But I was never going to I was never going to really progress
1189720	1194280	on to, you know, big things because one, there were a lot of physical attributes I didn't have.
1195000	1199320	And two, it's all about actually what's between the years. And I just didn't I didn't have it to be
1199320	1203560	I wasn't good enough to be a professional footballer. OK, but but I could apply that
1203560	1207880	attitude playing kind of non league football and played non league football for I think 12 years,
1207880	1213960	12, 13 years after that. OK. And what about the snooker skills? How did you develop? How did you
1213960	1219240	did you say you ended up as a sort of you were close to potentially being a professional snooker?
1219240	1222360	I was a lot closer to that. Yeah. And that was like that was what does that happen?
1223400	1229080	Well, so I mean, listen, another part of maybe I may have learned to read and write quicker and
1229080	1238600	I spent more time in school. So I mean, the snooker. Yes. 11 to 18, 19, probably. Yeah.
1238600	1245000	But seven hours a day. OK. And a lot of the professionals are on TV now played a lot of
1245000	1251080	them in prime. So I spent a lot of time in prostatin in Wales. So in Wales, they had this
1251080	1255960	the best juniors would meet for this tournament at Pontins in prostatin. I've been there actually.
1255960	1260280	Yeah. Not not to the snooker, but I went to like a sole weekend there, you know, in the,
1260840	1265960	you know, in the old days. And and so, yeah, you spent a lot of the best juniors, which a lot of
1265960	1272440	them are kind of doing really well as pros now. And yeah, I mean, I was good. The problem is,
1272440	1278200	is that if you can go to a table and you can make. So this is like we're talking 17 years ago.
1278200	1283240	So you go to a table and you can make 50 or 60. You know, that might seem all right. But the
1283240	1288520	problem is, is that you've got, you know, I was playing 11 year olds that you'd get 60 in front.
1288520	1293240	So they haven't got the ball yet. And then they dish up and clean up with with with an 87 break.
1293800	1299560	Yeah. And they're standing on boxes. Right. The table. Right. They're doing more than seven hours
1299560	1302680	a day. These kids presume God knows what's going on with them.
1302680	1306360	Yeah. Well, to be honest with you, Nick, and in some cases, they're not even doing seven hours.
1306360	1309960	They're doing like three. But I think there's a big difference between being naturally gifted
1309960	1315560	and having natural ability. And that was I was the latter. I had some natural ability
1315560	1320200	but to work really hard at it. And when you're playing kids that are like supreme, I remember
1320200	1330040	playing, you know, Judge Trump in a tournament as the kid and and got my ass handed to me. Yeah,
1330040	1335560	badly, badly. I mean, I imagine traveling all the way up to Wales from London. And then literally,
1335560	1341640	I think I broke off twice and got born ill. But it made like two or three centuries in a space of
1341640	1346680	like 20 minutes. It was just I remember sitting there thinking I'm not going to be good. And I
1347320	1352680	could either be a poor earning pro. Yeah. Or I need to really think about if this is what I
1352680	1358120	should be doing for a living. And at that point, I realized that that wasn't what I should be doing
1358120	1363240	for a living. Okay, well, I tell you what, though, it does strike me as interesting that you were
1363240	1370760	able to make some positive developments, though, in two different areas at this age. Because,
1371480	1377080	you know, there may be a lot of people who go through what you did, just don't have the
1377080	1382120	breakthroughs in any areas, maybe. So that's quite interesting. But anyway, back to this story,
1382120	1386760	your mom, I think is about to drag you out of the connections place or something.
1386760	1391880	Yeah, so she drags me out of this connections place. And it's kind of really funny, because,
1392600	1398200	you know, she kind of puts two hands on me. And she says, like, Look, you need to find a way to,
1398840	1402920	you know, we need to we need to do something here, we need to find a way to otherwise, you know,
1402920	1406280	your life is going to really ebb away from you. Because you know, these psychologists don't have
1406280	1410600	great predictions for you, Jason. So I'm kind of like, okay, right. So she found this course at
1410600	1417160	Merton College. And there I've become acquainted with a gentleman called Sandro Andres Andrie.
1417160	1422920	So from Cudetiba, Brazil. And he was he was brilliant. He was brilliant. Like he his first
1422920	1430840	question to me was like, you know, are you willing to work hard? So I was like, yes. He was like, I'm
1430840	1435880	gonna tell you something, I'm gonna tell you two things. So I said, Okay, he's like, I think you
1435880	1440920	could get to university in two years. So I burst out laughing because at the time, my mom was in
1440920	1445560	our final year of university. And I had a rough idea of what it was. But I couldn't even spell
1445560	1449560	university. So I was kind of thinking, well, you know, where are we going with this? And then he
1449560	1453720	said, like, I'm gonna, you know, I think we can take on the world and win. I'm gonna make you a
1453720	1459720	winner. I was thinking, wow, like, you know, I didn't know why he was saying this to me. And I
1459720	1463560	didn't know if this was something he said to everyone. But but yeah, I was completely taken
1463560	1468520	aback. And you know, he said, All I need you to do is you need to listen and try your best. And so
1468520	1473640	that's why I did. I did listen. And I tried my best. And it was amazing, because we saw kind of
1473640	1480360	these incremental improvements. Bit by bit by bit. But his whole thing was the same obsession that
1480360	1484600	you've channeled, particularly into snooker, you need to channel that same obsession because I
1484600	1488440	didn't really have the same session with I love football, I love sport, I love football. But it
1488440	1493160	came more naturally to me than snooker. The obsession was the reason why mom got me into
1493160	1499000	it is because there are some obsessive tendencies that might like as part of my autism that I have
1499000	1504760	that lend itself well to snooker. But the idea of repetition and repeating the same technique
1504760	1509960	over and over again. And my mom was in many respects quite innovative in that context.
1510920	1514680	Sanjay was like, we got to take all of these skills. And he said, you know, you've got a finite
1514680	1517800	amount of skills, Jason, you know, he said, I'm gonna be honest with you. And I'll tell you,
1517800	1521560	you've got a finite amount of strengths. But you know, rather than improve spending time wasting
1521560	1525720	any more time improving your weaknesses, let's make these strengths as amazing as we can.
1526200	1528440	Yeah, that is brilliant, man.
1528440	1532600	Yeah, because I mean, up until that point, my whole life, I'd been told, Jason, let's work on
1532600	1537080	your weaknesses. And like, you know, all I was doing was losing more and more confidence,
1537080	1543320	they weren't really improving. And that's basically what he did. And, you know, I don't know, he just,
1543960	1549480	he just really made me believe myself in a way that I not really experienced before. I don't know,
1549480	1554440	he kind of made me feel good about myself. And, you know, and that kind of carried on into adulthood.
1555160	1561240	Fantastic. And two questions about this gentleman. Well, first of all, are you still in contact with
1561240	1568440	him? Yeah, I am. Yeah. I mean, Sandra is my son's godfather. And I've known, yeah, we've been in,
1568440	1573000	I mean, we've been in contact, I mean, up until recently, might I add, but like,
1573000	1577480	we've probably been in contact every day from the age of 18 to 30, well, 35. Yeah.
1578200	1583000	That is fantastic. So you're in contact, which is great. And I just wonder how,
1583000	1588920	how does he feel about the journey that you've undertaken this guy must be must find it the most
1588920	1594200	beautiful thing. It's weird, because I guess he's always kind of, he's always kind of been the silent
1594200	1599560	observer. I mean, there's something there's a lot to be said for kind of, because people only ever
1599560	1603800	see the other end of the, the other side of the coin, right? They see the end of the race. So they
1603800	1608040	don't know what things happened from, from the start to the end. And they just see the end. So
1608040	1612200	they don't know what happened in between. And I think he often just sits there and thinks, you know,
1613480	1617720	I guess he thinks he's surreal, but in many respects, he could probably lay claim to be one
1617720	1623080	a few people that he didn't doubt. He, he thought that's how things could be. So it's not really a
1623080	1627560	surprise to him. His whole thing is like, you know, what can we do for other people? You know,
1627560	1633080	what can you do for other people, me specifically, you know, and can you maintain the same humility
1633080	1638520	and integrity you had when I met you at 18? And I think that's that, you know, it's not a challenge
1638520	1642600	for me, but it's something that, you know, I think it's easy to do when you don't have any success.
1642600	1647800	I think when you do start becoming successful, I think that's a really different thing altogether.
1647800	1652120	How wonderful. I'd be interested to meet him at some point, actually, you never know down the line.
1652120	1653240	Yeah, he's brilliant.
1653240	1659400	Yeah. So then you got your diploma, I'm assuming in sport, was it sports science, something like that?
1659400	1664920	Yeah, it was sport and exercise science. And it was the first educational thing that I'd achieved
1664920	1668760	that it was, it was an amazing feeling, because I never just never thought I'd be in that situation.
1668760	1671160	And no GCSEs, no A levels, obviously.
1671720	1677000	No, yeah. And then getting into kind of university was a bit of a, it was still a blur, even when I
1677000	1681160	say it was a blur, it was just a surprise. I remember kind of being in my first lecture, and
1682200	1687560	and it's like 300 people in this lecture room. And it was really, I mean, listen, I could just
1687560	1693800	about do anything. So we're talking 20 years old, with a reading age of about 10 or 11. And I
1693800	1699160	remember my first exam at university. And I remember saying this room for 300 people, the
1699160	1703560	lecturer says, you know, someone puts a hand up, as if everyone passed, everyone passed, they're
1703560	1708600	like, yeah, yeah, yeah, everyone's part, I mean, there is one person who hasn't passed. So everyone's
1708600	1713240	like, who didn't pass, who didn't pass? And like, I mean, well, I mean, to be honest, yeah,
1713240	1717960	that they just about spelled their name. So I'm sat there in my, I'm sat there and like, this kind
1717960	1722920	of person to person lecture, everyone kind of packed in like sardines. And I'm kind of like,
1722920	1727720	I definitely did more than spell my name. And so imagine 300 people going out of lecture,
1727720	1731800	there's only one entrance they can all go out of. So it's going to take some doing to kind of say,
1731800	1735560	you know, Nick, can you stop here for a minute, please? So anyway, the lecturers found me and
1735560	1739720	kind of said, Jason, can I just speak to you for a minute? So at this point, like, I'm really
1739720	1744360	apprehensive, because I'm thinking what's up, what's happened there? And she says, is there
1744360	1752040	any reason why you got like, nine percent on your exam? And I and I said, what I kind of stuttering,
1752040	1756360	I was like, I don't know, I don't know. And she was like, did you revise? Did you try? I was like,
1756520	1762680	that was my best effort. That was my absolute best effort. What was sorry, what percentage did you get?
1762680	1764360	Nine percent in this exam.
1764360	1771960	Nine. Okay, so she didn't know. So okay, so she was, I guess she didn't know your backstory.
1772760	1777160	She didn't know she didn't know any of it. So, so I kind of I guess in that situation,
1777160	1782680	I was forced to explain it, because at that point, you know, they were going to relieve me from the
1782680	1786840	course. They were kind of like, look, to be honest, you this is this is a really drastically low
1786840	1792120	score, desperately low. And it seems like you're a little bit out of your depth. So, you know,
1792120	1796760	you know, we can help you go back to college and maybe and it's kind of like, so at that point,
1796760	1800600	you know, I didn't want to say what the actual issue was, but then I had to explain it. Obviously,
1800600	1805320	legally, then the university had an obligation to helping me. They had to they had to help me again
1805320	1810360	with the Discrimination Act. So yeah, that I guess that's how that story ended. And then,
1810360	1814600	yeah, just before you move on, which university and what was the course?
1814600	1819480	That was great. So I went to St Mary's University College in Twickenham. Yeah. And I did physical
1819480	1825240	education and with education studies. Okay. That was and that was a great time in my life,
1825240	1831080	because I'd been to St Mary's as a 14 year old, right. And never in my wildest dreams did I ever
1831080	1836040	think six years later, I'd end up going there as a student. So there's kind of a symmetry with
1836040	1840280	certain things that kind of happened in my life. And that was, and that was one of them said I was
1840440	1846360	pretty cool moment to be able to go there and to want to have a great time, but to do really well
1846360	1853400	there. So this 9% score and the teacher going, well, you're out of your depth. How did you
1853400	1857640	manage to first of all, what kind of degree did you come away with in the end?
1858200	1865480	Yeah, so I actually, I mean, not I've got over it, really, 13 years later, but I finished with
1865720	1872920	finished on 69.9. So they did a round out to a first overall, which, which killed me.
1874920	1876440	You always got first.
1876440	1878040	I always got first. Yeah.
1878040	1878440	Wow.
1878440	1886360	But the module that killed me was a module called physical activity with older adults.
1886360	1887480	Okay.
1887480	1892680	And at the time I was going for a sabbatical position. So, so athletic union president.
1892680	1896680	And so I was really fixated on winning this election. I took my after ball with this
1896680	1901400	particular assessment and I got like, it was the lowest mark I'd got in a year and a half, got 58.
1902280	1905720	And I remember subsequently a couple of years later, I went back to work at St Mary's and I
1905720	1909800	told the, I told the friend of the, you know, the lecture, my lecture at the time, he became my
1909800	1915400	friend, the guy called Dean either. I said to him like, um, Dean, you know, this module cost me like
1915400	1920840	a first, you know, cause it was still, the module was still there. So I hate this module. This module
1920920	1925880	cost me a first like Jason, if you just said to me, I need one more percent, I would have given it
1925880	1931160	to you. So you told me that like, at that point, it was like seven years later. Oh my God. Like,
1931640	1938600	so yeah, that was quite funny. But, um, you know what, man, I think you did well to go from 9%
1938600	1944520	in your first test and then basically a first give a take a half percent or whatever was an
1944520	1950040	incredible achievement in its, in its own right. So, so what it seems to be the pattern here is
1950040	1957880	it was a, an achievement to kind of get the, the Merton college stuff that you were overachieving
1957880	1964680	there. Then you were possibly in some people's eyes overachieving getting into university.
1964680	1969880	And then probably some people might've said that you were overachieving compared to what they would
1969880	1975560	have predicted. Certainly the, the educational psychologists who had made predictions, let's say
1975560	1981880	seven years, 10 years before to potentially come out of uni with a first there or there abouts,
1981880	1987960	again, a sort of over achievement maybe compared to what some people would have thought. So are,
1987960	1995320	with this overachieving, are you now starting to believe that, hey, achieving more than other
1995320	2001800	people say that I will is entirely within my capability? And are you starting to believe that
2002520	2007480	not necessarily because the belief isn't for me to measure myself against anyone at that point,
2007480	2012120	because I just knew that I was, you know, one thing I've always been is a really good loser,
